"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","response","flipped","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","triangle_final_x","triangle_final_y","response_time","obstacle_idx","obstacle_initial_x","obstacle_initial_y"
"","","","","","html-keyboard-response","114","252976","0.0-9.0-0.0","","","","","","","","","","","","","","","","null","","null","true","500","479.92114317029973","330.87","6","fallScene","","","","","",""
"","","","","","html-keyboard-response","115","253463","0.0-9.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","625","250","484","","",""
"","","","","","html-keyboard-response","115","253463","0.0-9.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","reconstruct","625","250","484","5","625","250"
"","","","","","html-keyboard-response","116","256467","0.0-9.0-0.1","","","","","","","","","","","","","","","","null","","null","false","322.3","379.3711431702997","245.25","1","fallScene","","","","","",""
"","","","","","html-keyboard-response","117","256962","0.0-9.0-1.1","","","","","","","","","","","","","","","","","","","","","","","","","500","250","493","","",""
"","","","","","html-keyboard-response","117","256962","0.0-9.0-1.1","","","","","","","","","","","","","","","","","","","","","","","","reconstruct","500","250","493","3","500","250"
"","","","","","html-keyboard-response","118","259966","0.0-9.0-0.2","","","","","","","","","","","","","","","","null","","null","true","604.4000000000001","596.8711431702998","394.5","10","fallScene","","","","","",""
"","","","","","html-keyboard-response","119","260562","0.0-9.0-1.2","","","","","","","","","","","","","","","","","","","","","","","","","500","350","595","","",""
"","","","","","html-keyboard-response","119","260562","0.0-9.0-1.2","","","","","","","","","","","","","","","","","","","","","","","","reconstruct","500","350","595","4","500","350"
"","","","","","html-keyboard-response","120","263565","0.0-9.0-0.3","","","","","","","","","","","","","","","","null","","null","false","322.3","379.3711431702997","245.25","1","fallScene","","","","","",""
"","","","","","html-keyboard-response","121","264185","0.0-9.0-1.3","","","","","","","","","","","","","","","","","","","","","","","","","500","350","618","","",""
"","","","","","html-keyboard-response","121","264185","0.0-9.0-1.3","","","","","","","","","","","","","","","","","","","","","","","","reconstruct","500","350","618","4","500","350"
"","","","","","html-keyboard-response","122","267194","0.0-9.0-0.4","","","","","","","","","","","","","","","","null","","null","true","500","453.67114317029973","210.33","5","fallScene","","","","","",""
"","","","","","html-keyboard-response","123","267764","0.0-9.0-1.4","","","","","","","","","","","","","","","","","","","","","","","","","625","250","567.0000000000582","","",""
"","","","","","html-keyboard-response","123","267764","0.0-9.0-1.4","","","","","","","","","","","","","","","","","","","","","","","","reconstruct","625","250","567.0000000000582","5","625","250"
"","","","","","html-keyboard-response","124","270779","0.0-9.0-0.5","","","","","","","","","","","","","","","","null","","null","true","604.4000000000001","650.0211431702996","404.58000000000004","11","fallScene","","","","","",""
