success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,practiceTestResult,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,url,stimulus,response,task,ball_X,obstacle_groundTruth_x,obstacle_groundTruth_y,stimulus_idx,trial_name,flipped,choice,timeLimit,question_order,obstacle_choice_x,obstacle_choice_y,currentTrial
,,,,,html-keyboard-response,141,649826,0.0-18.0-1.15,,,,passed,,468,,,,,,,,,,,,,,j,yesOrNo,,,,2,,,lp,1000,,,,40
,,,,,html-keyboard-response,142,651389,0.0-18.0-0.16,,,,passed,,,,,,,,,,,,,,,,,ballFalling,322.3,356.4211432,357.87,4,fallScene,FALSE,,,,,,41
,,,,,html-keyboard-response,143,652077,0.0-18.0-1.16,,,,passed,,685,,,,,,,,,,,,,,f,yesOrNo,,,,4,,,mid,1000,,,,41
,,,,,html-keyboard-response,144,653624,0.0-18.0-0.17,,,,passed,,,,,,,,,,,,,,,,,ballFalling,604.4,575.4211432,266.76,12,fallScene,TRUE,,,,,,42
,,,,,html-keyboard-response,145,654488,0.0-18.0-1.17,,,,passed,,862,,,,,,,,,,,,,,j,yesOrNo,,,,12,,,gt,1000,,,,42
,,,,,html-keyboard-response,146,656489,0.0-18.0-0.18,,,,passed,,,,,,,,,,,,,,,,,ballFalling,500,510.8711432,369.03,8,fallScene,TRUE,,,,,,43
,,,,,html-keyboard-response,147,657246,0.0-18.0-1.18,,,,passed,,753,,,,,,,,,,,,,,j,yesOrNo,,,,8,,,mid,1000,,,,43
,,,,,html-keyboard-response,148,658807,0.0-18.0-0.19,,,,passed,,,,,,,,,,,,,,,,,ballFalling,604.4,650.0211432,404.58,11,fallScene,FALSE,,,,,,44
,,,,,html-keyboard-response,149,659486,0.0-18.0-1.19,,,,passed,,677,,,,,,,,,,,,,,f,yesOrNo,,,,11,,,mid,1000,,,,44
,,,,,html-keyboard-response,150,661492,0.0-18.0-0.20,,,,passed,,,,,,,,,,,,,,,,,ballFalling,500,510.8711432,369.03,8,fallScene,FALSE,,,,,,45
,,,,,html-keyboard-response,151,662174,0.0-18.0-1.20,,,,passed,,680,,,,,,,,,,,,,,f,yesOrNo,,,,8,,,lp,1000,,,,45
,,,,,html-keyboard-response,152,663824,0.0-18.0-0.21,,,,passed,,,,,,,,,,,,,,,,,ballFalling,500,479.9211432,330.87,6,fallScene,TRUE,,,,,,46
,,,,,html-keyboard-response,153,664581,0.0-18.0-1.21,,,,passed,,754,,,,,,,,,,,,,,j,yesOrNo,,,,6,,,mid,1000,,,,46
,,,,,html-keyboard-response,154,666074,0.0-18.0-0.22,,,,passed,,,,,,,,,,,,,,,,,ballFalling,604.4,667.6211432,201.78,9,fallScene,TRUE,,,,,,47
,,,,,html-keyboard-response,155,666704,0.0-18.0-1.22,,,,passed,,627,,,,,,,,,,,,,,f,yesOrNo,,,,9,,,lp,1000,,,,47
,,,,,html-keyboard-response,156,668708,0.0-18.0-0.23,,,,passed,,,,,,,,,,,,,,,,,ballFalling,604.4,596.8711432,394.5,10,fallScene,TRUE,,,,,,48
,,,,,html-keyboard-response,157,669404,0.0-18.0-1.23,,,,passed,,695,,,,,,,,,,,,,,f,yesOrNo,,,,10,,,lp,1000,,,,48
