"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","comprehensionCheck"
"","","","","","html-button-response","84","430039","0.0-11.3-0.4-4.4","","","","passed","","1098","","","","","","","","","","","","","<p>To make sure you understood the task, we just have a <b>brief quiz</b> here.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","1","","","","","","","","","","",""
"","","","","","survey-multi-choice","85","436224","0.0-11.3-1.3-0.3","","","","passed","","6182","","","","","","","","","","","","","","{""generalProcedure"":""Watch a video of a ball falling, some of it behind a gray screen. After each video, decide if the triangle is at the spot where the ball hit the triangle behind the screen. There is time limit for the response.""}","","","","","","","","","","[0]",""
"","","","","","survey-multi-choice","86","449281","0.0-11.3-1.3-1.3","","","","passed","","13054","","","","","","","","","","","","","","{""checkBallHitObstacle"":""Yes.""}","","","","","","","","","","[0]",""
"","","","","","survey-multi-choice","87","451792","0.0-11.3-1.3-2.3","","","","passed","","2508","","","","","","","","","","","","","","{""checkTriangleVisibility"":""No, the triangle is hidden behind the gray screen.""}","","","","","","","","","","[0]",""
"","","","","","survey-multi-choice","88","454297","0.0-11.3-1.3-3.3","","","","passed","","2502","","","","","","","","","","","","","","{""checkTimedResponse"":""Your response will not be recorded, and the trial will move to the next one.""}","","","","","","","","","","[0]",""
"","","","","","survey-multi-choice","89","465478","0.0-11.3-1.3-4.3","","","","passed","","11178","","","","","","","","","","","","","","{""checkTimeBlockNotice"":""Before every individual trial.""}","","","","","","","","","","[0]",""
"","","","","","survey-multi-choice","90","470316","0.0-11.3-1.3-5.3","","","","passed","","4835","","","","","","","","","","","","","","{""checkTimeBlockSameness"":""Yes, the time limit is the same for all trials within a block.""}","","","","","","","","","","[0]",""
"","","","","","survey-multi-choice","91","474190","0.0-11.3-1.3-6.3","","","","passed","","3872","","","","","","","","","","","","","","{""checkTrianglePrecision"":""No. The proposed purple triangle is not in the correct position because it doesn't match the location of the white triangle exactly.""}","","","","","","","","","","[0]",""
"","","","","","html-button-response","92","475167","0.0-11.3-2.3-0.3","","","","passed","","967","","","","","","","","","","","","","<p>Oops! You did not pass the quiz.</p><p>You will now repeat the instructions and practice.</p>","0","","","","","","","","","","","failed"
"","","","","","instructions","93","479677","0.0-11.4-0.5-0.5","","","","passed","[{""page_index"":0,""viewing_time"":1089},{""page_index"":1,""viewing_time"":472},{""page_index"":2,""viewing_time"":2057},{""page_index"":3,""viewing_time"":889}]","4507","","","","","","","","","","","","","","","","","","","","","","","","",""
